9.353555148519550858e+04,1.877301987388264388e+04,6.957590472484051134e+04,1.069568499565691163e+05,3.464609084529597312e+05,1.301655607039985334e+05,1.025074167431364331e+05,2.540222164133335464e+05,1.955022283585902187e+05,1.442355368617495114e+05,3.286392127114455798e+05,1.390495628417665721e+05,1.287028882572920411e+05,3.066141426269116346e+05,3.141103843877143809e+05,3.050440426971600391e+05,3.986539020875046845e+04,3.780378724689009832e+05,3.620388262335967156e+05,1.441327203130223206e+05
9.706818694966752082e+04,1.576748182058522070e+05,4.246489302647812292e+04,1.479594069296453963e+05,2.820597203018580331e+05,1.046094613642965851e+05,7.555239236659038579e+04,1.777857318961131386e+05,1.511960604463318596e+05,1.551968057325698901e+05,2.514689109410657547e+05,1.075378998437064874e+05,1.117569594145264709e+05,1.770043278377908864e+05,3.455798909208416590e+05,3.180582952266113134e+05,5.963801401379710296e+04,4.282891049884676468e+05,3.377261061326685012e+05,1.386282689217216102e+05
1.049321191870050679e+05,3.499711595218071598e+05,1.889003763551532757e+04,2.014732684143728693e+05,2.970082310150762205e+05,8.699375265344968648e+04,4.587895493478162098e+04,1.959411971957591013e+05,5.331550866878903471e+05,1.746742937769248383e+05,2.162138848102474876e+05,8.933808111745485803e+04,1.192562247648150806e+05,1.788179605394669343e+05,2.870560482065237593e+05,3.378707779983655782e+05,1.109618211914121493e+05,4.001756897078763577e+05,4.999096479475300293e+05,1.375063118691140553e+05
1.008037737430086418e+05,3.626693911505333381e+05,4.084597021727325046e+04,1.593455872763869120e+05,3.880208554123527138e+05,8.529073841342469677e+04,1.188135673055366060e+05,2.591879616358320054e+05,8.378045871386001818e+05,2.042590930312719138e+05,1.668724740720790869e+05,5.833614934780445765e+04,7.874125913853482052e+04,1.704209295190662378e+05,2.347084403816908598e+05,2.788798204380559037e+05,1.252156513937081618e+05,4.000915670714751468e+05,6.305829862254110631e+05,1.485347384186736890e+05
9.649319947547808988e+04,5.446050504045120906e+05,5.747623255832616996e+04,2.197845450073786196e+05,5.094617543698505615e+05,2.001774424128840328e+05,1.659168521195478970e+05,2.082365103197311400e+05,1.020782847156032920e+06,1.780919734706585878e+05,1.461201340478844941e+05,7.308425105764214823e+04,8.984038260847507627e+04,2.534911731679058867e+05,1.837540214810961916e+05,2.623869172883887659e+05,1.339918452431716723e+05,2.828830397271015099e+05,6.765611157461951952e+05,1.720813366364428075e+05
9.090908769033518911e+04,3.039893668124639080e+05,8.192944642197329085e+04,1.727885164987494936e+05,5.684518638590271585e+05,3.158351652748640045e+05,1.737473329655939888e+05,1.025583607739517465e+05,1.108522548277348978e+06,2.087930914047392143e+05,1.244123239808783255e+05,8.984226762162733939e+04,1.119506984288051026e+05,2.499183096295073628e+05,1.764702946087399032e+05,3.561509842434539460e+05,1.102381451173833630e+05,3.275159743088344694e+05,8.227229184069748735e+05,1.800480435556065640e+05
9.106314005754234677e+04,2.242405498934401840e+05,7.157147880088326929e+04,9.561311434404781903e+04,4.805177617028126842e+05,2.567423767223252216e+05,2.350801098470156139e+05,9.757612745808222098e+04,9.500727993504073238e+05,1.630872130933663575e+05,1.400722073142639711e+05,1.383592553783134208e+05,1.407397249390689831e+05,2.839694147489384632e+05,2.783956914960095310e+05,2.975316682551950798e+05,1.404335942027946294e+05,4.723024776666661492e+05,7.663778191980607808e+05,1.707948206683219469e+05
9.190861090123144095e+04,1.126900399327999912e+05,1.072234009087017621e+05,-6.635718755678972229e+03,6.313133033637797926e+05,1.593078023379603401e+05,2.344607933501451043e+05,2.045805600796165527e+05,1.047435314656953095e+06,2.033695877631388430e+05,1.442467065959815518e+05,1.086578796460542944e+05,1.445680907877716236e+05,2.943928601512727910e+05,2.991159682751424843e+05,3.167665058040624717e+05,1.038644233187492500e+05,5.562101257536251796e+05,9.744326769576461520e+05,2.023480360476193600e+05
1.126150617785686627e+05,2.362958546199614066e+05,1.137731721826971770e+05,-5.170876042136957403e+04,5.076323219615494017e+05,1.788404805527413846e+05,2.009900695416577801e+05,3.311316730113200028e+05,9.900466716278586537e+05,2.020479854281945736e+05,2.205085289867683605e+05,1.121508930835261999e+05,1.479463592492479947e+05,3.301636793733909726e+05,3.777815933038850781e+05,1.844964861602602177e+05,1.178595396780366282e+05,5.404986396008653101e+05,9.299376916898217751e+05,2.104110702784165624e+05
1.275792721662585973e+05,4.471083676283090608e+05,1.877192632245648419e+05,8.509993078150690417e+04,5.127299109955613967e+05,2.632838019078914658e+05,1.414750022202046821e+05,3.673595277442141669e+05,7.593088065587482415e+05,2.623156693139940035e+05,2.811389542777328752e+05,1.001299614273483312e+05,1.280381550649441924e+05,3.445100285581831122e+05,3.879496655281757703e+05,2.152714220351661206e+05,8.724565238033760397e+04,4.538102026246786118e+05,8.851410740180504508e+05,2.049711464315976191e+05
